,setting页登录,文案1,,login,登录,登錄,Log in,Ingresar,Войти ,Logar,Einloggen,로그인,登録,Se connecter,Accedi,الاتصال,Giriş yap,Login,,
,home界面登录卡片,文案,,home_login_text,登录和小伙伴一起玩！,登錄和小夥伴一起玩！,Play With Friends,Juega con los amigos,Войдите и играйте с друзьями,Jogar com amigos.,Spiel mit Freunden,친구들과 함께하기,登録して友達と一緒にプレー,Jouer avec des amis,Gioca con gli amici,العب مع الاصدقاء,Arkadaşlarınla oyna!,Main bareng teman,,
,,按钮,,home_login_btn,登录,登錄,Log in,Ingresar,Вход,Logar,Logg dich ein,로그인,ログイン,Se connecter,Accedi,تسجيل الدخول,Giriş yap,Login,,
,,toast反馈,,toast_login_success,登录成功,登錄成功,"Logged in",Ingresado,Вход выполнен успешно,Logou com sucesso,Erfolgreich eingeloggt,로그인 성공,登録成功,Connecté avec succès,Accesso Successo,تم تسجيل الدخول بنجاح,Giriş başarılı,Berhasil login,,
,setting页登出,文案,,logout,退出登录,退出登錄,"Log out",Cerrar sesión,Выход,Deslogar,Ausloggen,로그아웃,退出,Déconnexion,Disconnetti,تسجيل الخروج,Çıkış yap,Logout,,
,登出确认弹窗,标题,,logout_title,确认登出,確認登出,Confirm Logout,Confirmar cerrar sesión,Подтвердите выход,Confirmar Saída,Ausloggen bestätigen,로그 아웃 확인,退出を確認,Confirmer la déconnexion,Confermi disconnettersi,تأكيد الخروج,Çıkışı onayla,Konfirmasi logout,,
,,文案,,logout_text,退出登录后将会清空游戏本地数据！如需恢复，请重新登录。,退出登陸后將會清空遊戲本地數據！如需恢復，請重新登錄。,Local game data will be cleared when log out! Log in to recover your account.,"¡Los datos locales se borran cuando cierras sesión. Para recuperarlos, ingresa de nuevo.",После выхода данные будут очищены. Для восстановления войдите в игру снова.,"Quando deslogar, dados de jogos locais serão eliminados ! Conecte-se para recuperar.","Daten werden gelöscht, wenn du dich ausgeloggt hast! Wieder Einloggen zur Wiederherstellung.",로그아웃하신 후에 현 설비에서 게임정보가 클리어됩니다! 회복하시려면 다시 로그인하십시오.,退出するとローカルデータが消去されます。回復させたい場合は再度登録して下さい。,Données locales supprimées après la déconnexion. Reconnectez-vous pour les récupérer.,"Dopo il logout,saranno cancellati tutti i dati locali! Per recuperarli, fa' il login di nuovo.",سوف تختفي بيانات اللعبة المحلية في حال تسجيل الخروج. يرجي تسجيل الدخول مرة أخرى لحصول على البيانات.,"Veriler oturum kapanırsa sıfırlanacak, kurtarmak için lütfen tekrar oturum açın.",Data permainan lokal akan dibersihkan setelah logout!Login lagi untuk memulihkan data.,,
,,左按钮,,logout_left_btn,取消,取消,Cancel,Cancelar,Отмена,Cancelar,Abbrechen,취소,キャンセル,Annuler,Annulla,إلغاء,İptal,Batal,,
,,右按钮,,logout_right_btn,退出登录,退出登錄,Log out,Cerrar sesión,Выход,Deslogar,Ausloggen,로그아웃,退出,Se déconnecter,Disconnetti,تسجيل الخروج,Çıkış yap,Logout,,
,成就榜标题,文案,,leaderboard,成就榜,成就榜,Pianist Leaderboard,Tabla de pianistas,Рейтинг,Tabela de conquista,Pianistenrangliste,피아니스트 랭킹,成績順位,Classement des pianistes,Classifica,لائحة المتصدرين من عازفي البيانو,Piyanist Skor Tablosu,Leaderboard pianis,,
,从单曲榜进入成就榜,文案,,goto_leaderboard,去成就榜看大神,去成就榜看大神,Go to Leaderboard,Ir a la tabla ,Проверьте рейтинг,Ir para conquista,Zur Rangliste,친구들 랭킹 순위 보기,成績順位へ,Accéder au classement,Vai alla Classifica,الذهاب إلى لائحة المتصدرين,Piyanist Skor Tablosuna Git,Pergi ke leaderboard,,
,,,,toast_connect_fail,连接失败，请稍后再试,連接失敗，請稍後再試,Connection failed.Try later,Intenta más tarde,Попробуйте позже,Tente mais tarde,Versuchen Sie es später noch einmal,"연결 실패, 다시 시도해 보세요",連続失敗、後でお試し,Réessayer plus tard,Connessione fallita. Riprova più tardi.,حاول مجددا لاحقا,Bağlantı başarısız. Lütfen tekrar deneyin.,Tidak bisa dikoneksi. Coba lagi nanti,,
,,,,toast_login_fail,登录失败,登錄失敗,Login Failed,Falló al ingresar,Ошибка входа,Login Falhou,Einloggen Scheitert,로그인 실패,登録失敗,Connexion échouée,Accesso fallito,فشل تسجيل الدخول,Giriş Başarısız,Gagal login,,
,,,,link_retry,重试,重試,Retry,Reintentar,Повторить,Outra vez,Neuer Versuch,재시도,リトライ,Réessayer,Riprova,إعادة المحاولة,Tekrar dene,Coba lagi,,
,,,,logout_notification,账号在其他地方登录,賬號在其他地方登錄,Logged into another device,Ingresado en otro dispositivo,Вы вошли с другого устройства,Já loga noutro dispositivo,Konto Anmeldensort wechseln,계정이 충돌 되였습니다,退出のお知らせ,Connecté dans un autre appareil,Collegato con un altro dispositivo,تسجيل الدخول إلى جهاز آخر,Hesabınızla başka bir yerde oturum açıldı,Akun Anda sudah login di perangkat lain.,,
,,,,logout_notification_text,您已被迫下线。退出登录后将会清空游戏本地数据！如需恢复，请重新登录。,您已被迫下線。退出登陸后將會清空遊戲本地數據！如需恢復，請重新登陸。,You are forced offline. Local game data will be cleared when log out! Log in to recover your account.,"Se ha dado de baja. ¡Los datos locales se borran al cerrar la sesión! Para recuperarlos, ingresa de nuevo.",Вы вылетели из игры. Игровые данные очищены. Для восстановления игровых данных войдите в игру снова.,Sua conta foi deslogada forçadamente. Dados de jogos locais serão eliminados quando deslogar! Logar para recuperar.,Du warst ausgeloggt. Nach dem Aussloggen werden die Daten gelöscht! Zur Wiederherstellung bitte loggst du dich wieder ein.,강제 로그아웃되었습니다. 로그아웃 후에 게임정보가 클리어됩니다! 회복하시려면 다시 로그인하십시오.,強制退出されました。退出するとローカルデータが消去されます。回復させたい場合は再度登録して下さい。,Hors connexion. Les données seront supprimées après la déconnexion. Reconnectez-vous pour récupérer.,"E' stato costretto ad uscire dal gioco. Dopo il logout,saranno cancellati tutti i dati locali! Per recuperarli, faccia il login di nuovo.",أضطرت إلى الخروج من اللعبة. سوف تختفي بيانات اللعبة المحلية في حال تسجيل الخروج، يرجى تسجيل الدخول مرة أخرى لحفظ هذه البيانات,Hesabınız çevrimdışı oldu. Oturum kapanırsa veriler silinecek. Veriler kurtarmak için lütfen tekrar oturum açın.,Anda telah dipaksa offline.Data permainan lokal akan dibersihkan setelah logout!Login lagi untuk memulihkan data.,,
,,,,logout_notification_rightbtn,重新登录,重新登錄,Log In Again,Ingresar otra vez,Войти снова,Login outra vez,Erneut,다시 로그인,もう一度登録,Se Connecter,Accedi di nuovo,الدخول مرة أخرى,Tekrar giriş yapın,Login lagi,,
,,,,logout_notification_leftbtn,取消,取消,Cancel,Cancelar,Отмена,Cancelar,Abbrechen,취소,キャンセル,Annuler,Annulla,إلغاء,İptal,Batal,,
,,,,login_sync,正在同步数据…,正在同步數據…,"Synchronizing data…",Actualizando datos…,Синхронизация данных…,Atualizando dados…,Daten Updaten…,데이터 업뎃중…,データをシンクロ…,Mise à jour des données ...,Aggiornando i dati ...,تحديث البيانات …,Veri güncelleniyor…,Data sedang diperbarui,,
,,,,,,,,,,,,,,,,,,,,
,结果页单曲冠军弹窗,,,single_no1_text,太赞了，恭喜您获得单曲冠军,太讚了，恭喜您獲得單曲冠軍,Congratulations on being No.1!,Felicidades por ser el No.1!,Поздравляем с 1 местом!,Parabéns por ser No.1!,Glückwunsch zur Nr. 1!,1위 하신걸 축하합니다!,優勝おめでとう！,Félicitation pour être No 1,Congratulazioni ! Sei primo !,مبروك ليكون رقم 1,Tebrikler 1. sıradasınız!,Selamat merebut juara dalam lagu ini,,
,,,,single_no1_view,查看,查看,View,Ver,Смотреть,Confira,Sehen,랭킹보기,ランキングへ,Voir,Vedi,رؤية,Bak,Lihat,,
,,,,single_no1_share,分享,分享,Share,Compartir,Поделиться,Compartilhar,Teilen,공유하기,共有,Partager,Condividi,مشاركة,Paylaş,Berbagi,,
,结果页总榜排名上升弹窗,,,ranking_up,排名上升啦,排名上升啦,Rank Up,Ranking Subido,Рейтинг повышен,Ranking Subido,Aufstieg,순위 올라갔어용,順位昇進,Classement,Classifica salita,الرتبة,Sıranız Yükseldi,Peringkat naik!,,
,,,,open_login_text,登录免费获取,登錄免費獲取,Log in with facebook and get,Ingresar con Facebook y ganar,Войдите Facebook и получите,Logar com Facebook e ganhar,Über Facebook anmelden und bekommen,페이스북 연결되면 받음,登録すると無料獲得,Connectez-vous avec Facebook et obtenez,Connettiti con facebook e ottieni,اتصل بفيسبوك للحصول على,Facebook ile giriş yap ve ücretsiz al,Login Facebook untuk mendapat,,
VIP订阅服务,VIP详情,,,vip_privilege,VIP特权,VIP特權,VIP Privilege,Privilegio VIP,VIP подписка,Privilégio de VIP,VIP-Privileg,VIP 특권,VIP特権,Privilège VIP,VIP Privilegio,امتياز VIP,VIP Ayrıcalık,Hak istimewa VIP,,
,,,,vip_privilege_text1,去广告,去廣告,No Ads,Sin publicidades,Нет рекламы,Sem Anúncios,Keine Werbung,광고제거,広告なし,Pas de Pubs,Nessuna pubblicità,ازالة الاعلانات,Reklam Yok,Tiada iklan!,,
,,,,vip_privilege_text2,VIP专属歌曲,VIP專屬歌曲,VIP Songs,Canciones VIP,VIP песни,Canções VIP,VIP-Lieder,VIP 전용곡,VIP専用曲,VIP morceaux,VIP Canzoni,أغاني ل VIP فقط,VIP Şarkılar,Lagu VIP,,
,,,,vip_privilege_text3,解锁所有付费歌曲,解鎖所有付費歌曲,Unlock all the paid music,Liberar todas las canciones,Платные песни открыты,Liberar todas as canções,Schalte alle Lieder frei,유료곡전부언락,全ての有料曲を解除,Débloquer toutes les chansons,Sblocca tutte le canzoni,فتح كل الأغاني المدفوعة,Kilitli olan tüm şarkıları açın,Buka kunci semua,,
,,,,vip_privilege_text4,无广告干扰,無廣告干擾,No Annoying Ads,Sin anuncios molestos,Нет рекламы,Sem anúncios irritantes,Keine störende Werbung,광고 없음,広告を無くせるよ,Pas de pubs ennuyantes,"Nessuna pubblicità fastidiosa ",لا الإعلانات المزعجة,Sıkıcı Reklamlar Yok,Tidak ada gangguan iklan,,
,,,,vip_privilege_text5,无限制畅玩所有付费歌曲,無限制暢玩所有付費歌曲,Play all purchasable songs for free,Jugar todas las canciones comprables de forma gratuita,Все платные песни доступны бесплатно,Jogar todas as músicas pagas ilimitadamente,Spiele alle käufliche Lieder gratis,,有料曲全曲遊び放題,Jouer gratuitement toutes les chansons payantes,Gioca tutte le canzoni acquistabili gratis,لعب كل الأغاني المدفوعة بدون قيود,Satın alınabilir tüm şarkıları oynayabilirsiniz,Main semua lagu dengan gratis,,
,,,,vip_privilege_text6,抢先体验全球音乐人的独家原创歌曲,搶先體驗全球音樂人的獨家原創歌曲,Exclusive original music from around the world,"Música original exclusiva de todo el mundo",Оригинальная музыка со всего мира,O primeiro a jogar músicas originais de todo o mundo,Originelle Lieder von Musikern aus der ganzen Welt,세계  뮤지션들의 독특한 창작곡 *남보다 먼저 체험,世界中の音楽家のオリジナル曲を体験,Chansons originales exclusives du monde entier,Le musiche originali esclusive di tutto il mondo,تجربة الموسيقى الأصلية حصريا من كل أنحاء العالم,Dünyaca seçkin orijinal müzik,Lebih cepat menikmati lagu yang eksklusif dan asli dari musisi sedunia,,
,,,,vip_privilege_text7,确认订阅,確認訂閱,Confirm subscription,Suscripción confirmada,Подтвердить подписку,Confirmar assinatura,Abonnieren bestätigen,구독 확인,購読,S'abonner,Pagina di conferma,تأكيد الاشتراك,Aboneliği onayla,Konformasi berlanggan,,
,,,,vip_privilege_text8,除非在订阅到期前，提前至少一天在GooglePlay“设置”中关闭自动续订，否则此订阅将会继续,除非在訂閱到期前，提前至少一天在GooglePlay“設置”中關閉自動續訂，否則此訂閱將會繼續,"Subscriptions renew automatically, unless you cancel the subscription in Google Play Settings before it dues","Apaga la auto-suscripción en ""Ajustes"" de GP al menos 1 día antes de expirarse, no seguirá","Если заранее не отключить авто продление подписки, то подписка продлится.","Cancele a assinatura em Configurações da GP antes da expiração dela, se não irá renovar.","Es abonnniert automatisch, wenn du vor einem Tag des Ablaufs nicht ausgeschaltet hast.",결제일 되기 24시간전에만 구독 취소 가능합니다.,もし購読を続けたくない場合では、購読期限に至るまでせめて1日前にGooglePlayで自動購読の設置をオフーにしなければなりません。,Renouvellemt d'abonnemt auto sauf annulation dans paramètres de GP 1 jour avant l'expirat.,"Spegni l'acquisto automatico in GP prima della scadenza, altrimenti continua a acquistarlo.",يتجدد الاشتراك تلقائيا إلا إذا تم إلغائه قبل يوم واحد من انتهاء الصلاحية في الإعدادات لGP,Abonelik vadesinden önce GP ayarlarda otomatik uzatılmasını kapat. Yoksa devam edecek.,Langganan akan meneruskan kalau “Otomatis berlanggan” di pengaturan GooglePlay tidak dimatikan.,,
